store_id,name,category,address,lat,lng,base_cooking_min,bag_time_limit_min,correction_factor,prediction_accuracy_pct,open
S-001,낭만치킨 역삼점,치킨,서울 강남구 역삼동 테스트로 101,37.503059,127.069097,22,12,1.02,82,True
S-002,젊음버거 선릉점,버거,서울 강남구 선릉동 테스트로 102,37.524771,127.060995,17,12,0.97,83,True
S-003,사랑한식 삼성점,한식,서울 강남구 삼성동 테스트로 103,37.521252,127.056069,19,14,1.02,91,True
S-004,오늘의피자 논현점,피자,서울 강남구 논현동 테스트로 104,37.503777,127.021934,24,15,0.92,83,True
S-005,따뜻한분식 대치점,분식,서울 강남구 대치동 테스트로 105,37.485868,127.054804,14,10,1.09,94,True
S-006,서울돈까스 도곡점,돈까스,서울 강남구 도곡동 테스트로 106,37.483679,127.029426,20,13,0.94,91,True
S-007,바른샐러드 청담점,샐러드,서울 강남구 청담동 테스트로 107,37.503173,127.024896,11,9,1.03,86,True
S-008,골목중식 개포점,중식,서울 강남구 개포동 테스트로 108,37.475594,127.048692,21,13,0.97,84,True
S-009,도시락연구소 역삼점,도시락,서울 강남구 역삼동 테스트로 109,37.52886,127.041952,16,12,1.05,82,True
S-010,면과국물 선릉점,일식,서울 강남구 선릉동 테스트로 110,37.529471,127.04219,18,11,0.99,86,True
S-011,매일카페 삼성점,카페,서울 강남구 삼성동 테스트로 111,37.491913,127.039919,9,8,1.02,93,True
S-012,정성족발 논현점,족발·보쌈,서울 강남구 논현동 테스트로 112,37.511718,127.024798,27,15,1.08,87,True
