history_id,order_id,store_id,category,weekday,hour,menu_count,store_load,weather,base_cooking_min,correction_factor,predicted_cooking_min,actual_cooking_min
COOK-0001,HIST-0001,S-007,샐러드,0,12,3,3,CLEAR,11,1.03,9,9
COOK-0002,HIST-0002,S-012,족발·보쌈,6,19,1,0,RAIN,27,1.08,31,29
COOK-0003,HIST-0003,S-008,중식,2,11,3,3,CLEAR,21,0.97,18,21
COOK-0004,HIST-0004,S-010,일식,5,19,2,3,CLOUDY,18,0.99,15,17
COOK-0005,HIST-0005,S-006,돈까스,2,17,3,5,CLEAR,20,0.94,17,16
COOK-0006,HIST-0006,S-010,일식,5,18,1,6,CLEAR,18,0.99,18,21
COOK-0007,HIST-0007,S-005,분식,5,19,3,0,CLEAR,14,1.09,14,11
COOK-0008,HIST-0008,S-007,샐러드,0,18,1,3,CLEAR,11,1.03,9,8
COOK-0009,HIST-0009,S-001,치킨,0,19,3,6,CLEAR,22,1.02,25,29
COOK-0010,HIST-0010,S-011,카페,2,18,2,0,CLEAR,9,1.02,12,10
COOK-0011,HIST-0011,S-004,피자,4,18,3,0,CLOUDY,24,0.92,21,24
COOK-0012,HIST-0012,S-012,족발·보쌈,4,18,3,6,CLEAR,27,1.08,32,31
COOK-0013,HIST-0013,S-012,족발·보쌈,6,13,3,4,CLEAR,27,1.08,31,36
COOK-0014,HIST-0014,S-006,돈까스,5,13,3,2,CLEAR,20,0.94,18,17
COOK-0015,HIST-0015,S-008,중식,6,17,1,7,RAIN,21,0.97,24,24
COOK-0016,HIST-0016,S-007,샐러드,5,18,3,0,CLEAR,11,1.03,12,15
COOK-0017,HIST-0017,S-003,한식,0,13,1,7,CLEAR,19,1.02,17,18
COOK-0018,HIST-0018,S-004,피자,5,19,3,5,CLEAR,24,0.92,23,27
COOK-0019,HIST-0019,S-005,분식,6,12,1,1,CLEAR,14,1.09,14,18
COOK-0020,HIST-0020,S-002,버거,1,19,3,3,CLOUDY,17,0.97,15,13
COOK-0021,HIST-0021,S-012,족발·보쌈,1,21,1,6,CLOUDY,27,1.08,31,34
COOK-0022,HIST-0022,S-005,분식,4,11,1,7,CLEAR,14,1.09,15,20
COOK-0023,HIST-0023,S-011,카페,6,11,2,3,CLEAR,9,1.02,9,11
